1 16613U          86053.07627914 -.00000008  00000+0  00000+0 0    05
2 16613  98.7248 205.8566 0002141 100.8374 259.2995 14.20025697 11043
1 16613U 86019A   86131.85356064  .00002109  00000-0  99999-3 0  1056
2 16613  98.7241 206.8294 0002002  99.7470 260.3883 14.20025461 11187
1 16613U 86019A   86132.91047436  .00001255  00000-0  59790-3 0  1061
2 16613  98.7251 207.8723 0001980 101.1381 259.0062 14.20028980 11339
1 16613U 86019A   86133.96738430  .00001234  00000-0  59790-3 0  1076
2 16613  98.7240 208.9135 0002175 109.4662 250.6591 14.20026137 11488
1 16613U 86019A   86134.88337875  .00001254  00000-0  59790-3 0  1089
2 16613  98.7249 209.8177 0002080  94.4318 265.7059 14.20026744 11614
1 16613U 86019A   86135.94029190  .00001254  00000-0  59790-3 0  1096
2 16613  98.7245 210.8609 0001981  93.7306 266.4047 14.20026270 11765
1 16613U 86019A   86136.92674486  .00001255  00000-0  59791-3 0  1103
2 16613  98.7246 211.8334 0002044  99.3763 260.7664 14.20028354 11905
1 16613U 86019A   86137.84273436  .00001255  00000-0  59790-3 0  1115
2 16613  98.7244 212.7369 0001931 101.1578 258.9761 14.20028417 12033
1 16613U 86019A   86138.82918596  .00001255  00000-0  59790-3 0  1128
2 16613  98.7249 213.7105 0002232 101.1427 258.9854 14.20023970 12172
1 16613U 86019A   86139.88610240  .00001255  00000-0  59790-3 0  1131
2 16613  98.7264 214.7528 0001959  96.3540 263.7973 14.20029018 12327
1 16613U 86019A   86140.87255025  .00001255  00000-0  59790-3 0  1149
2 16613  98.7260 215.7250 0001969  94.5745 265.5560 14.20028993 12462
1 16613U 86019A   86141.85900223  .00055515  00000-0  26103-1 0  1154
2 16613  98.7259 216.6957 0002341  88.1852 271.9281 14.20021116 12604
1 16613U 86019A   86142.91588220  .00044319  00000-0  20833-1 0  1166
2 16613  98.7275 217.7388 0002065  90.5178 269.4385 14.20038736 12752
1 16613U 86019A   86143.90233219  .00000033  00000-0  24401-4 0  1175
2 16613  98.7255 218.7125 0001917  85.1606 274.7879 14.20027363 12897
1 16613U 86019A   86144.88882254  .00000106  00000-0  54009-4 0  1181
2 16613  98.7254 219.6855 0001864  86.9740 273.1740 14.20027864 13038
1 16613U 86019A   86146.01619407  .00000919  00000-0  44049-3 0  1191
2 16613  98.7252 220.7969 0001845  84.3350 275.8106 14.20030132 13197
1 16613U 86019A   86146.86172095  .00000919  00000-0  44049-3 0  1214
2 16613  98.7249 221.6308 0001737  91.5874 268.5396 14.20029292 13310
1 16613U 86019A   86148.05955512  .00000849  00000-0  40702-3 0  1225
2 16613  98.7245 222.8125 0001817  88.3289 271.8001 14.20029582 13489
1 16613U 86019A   86148.97554902  .00000538  00000-0  27060-3 0  1232
2 16613  98.7238 223.7168 0001875  84.0116 276.1314 14.20027106 13614
1 16613U 86019A   86149.89153928 -.00000009  00000-0  84518-7 0  1247
2 16613  98.7237 224.6195 0001812  78.2810 281.8648 14.20028479 13741
1 16613U 86019A   86151.01890920  .00020864  00000-0  98121-2 0  1255
2 16613  98.7228 225.7312 0001594  86.6745 273.4626 14.20039454 13907
1 16613U 86019A   86154.89424940  .00004153  00000-0  19598-2 0  1309
2 16613  98.7250 229.5539 0001739  73.5271 286.5882 14.20031132 14450
1 16613U 86019A   86156.86715117  .00004132  00000-0  19499-2 0  1326
2 16613  98.7243 231.4984 0001696  69.0857 291.0289 14.20030042 14732
1 16613U 86019A   86157.92406295  .00001258  00000-0  59999-3 0  1335
2 16613  98.7245 232.5405 0001533  75.0221 285.0925 14.20027468 14880
1 16613U 86019A   86158.91051796  .00001259  00000-0  59999-3 0  1349
2 16613  98.7247 233.5140 0001493  76.5446 283.5922 14.20027365 15022
1 16613U 86019A   86159.89696864  .00001259  00000-0  59999-3 0  1359
2 16613  98.7248 234.4866 0001490  72.9207 287.2222 14.20030578 15169
1 16613U 86019A   86160.95387817  .00000019  00000-0  17654-4 0  1360
2 16613  98.7246 235.5286 0001478  65.5562 294.5764 14.20029236 15311
1 16613U 86019A   86161.86986819  .00000029  00000-0  17654-4 0  1370
2 16613  98.7245 236.4317 0001441  63.5193 296.6173 14.20029826 15449
1 16613U 86019A   86162.92677838  .00000029  00000-0  17649-4 0  1381
2 16613  98.7234 237.4749 0001384  67.8399 292.2840 14.20026625 15591
1 16613U 86019A   86163.84277167  .00000029  00000-0  17649-4 0  1395
2 16613  98.7238 238.3779 0001329  69.2023 290.9434 14.20029035 15724
1 16613U 86019A   86164.97013956  .00000029  00000-0  17649-4 0  1406
2 16613  98.7237 239.4893 0001183  71.7819 288.3405 14.20022011 15884
1 16613U 86019A   86165.88613578  .00000163  00000-0  80683-4 0  1411
2 16613  98.7245 240.3926 0001341  58.4658 301.6984 14.20030526 16017
1 16613U 86019A   86166.87257893  .00000130  00000-0  65133-4 0  1423
2 16613  98.7245 241.3650 0001310  58.3775 301.7531 14.20030709 16154
1 16613U 86019A   86167.85902849  .00000004  00000-0  61209-5 0  1432
2 16613  98.7244 242.3379 0001256  58.1084 302.0183 14.20030157 16291
1 16613U 86019A   86168.91593989  .00000005  00000-0  61209-5 0  1443
2 16613  98.7244 243.3798 0001256  55.0669 305.0625 14.20030185 16444
1 16613U 86019A   86169.83192924  .00000004  00000-0  61209-5 0  1459
2 16613  98.7247 244.2843 0001136  59.0554 301.0747 14.20030238 16576
1 16613U 86019A   86171.02976116  .00000004  00000-0  61209-5 0  1467
2 16613  98.7255 245.4664 0001044  67.8388 292.2945 14.20030392 16740
1 16613U 86019A   86172.93219113  .00000005  00000-0  61209-5 0  1488
2 16613  98.7249 247.3413 0000928  64.3211 295.7627 14.20029674 17010
1 16613U 86019A   86173.91865108  .00042977  00000-0  20201-1 0  1496
2 16613  98.7244 248.3144 0001220  60.7435 299.3914 14.20041297 17150
1 16613U 86019A   86174.83460685  .00000128  00000-0  64033-4 0  1507
2 16613  98.7247 249.2175 0000886  61.6536 298.3135 14.20030771 17289
1 16613U 86019A   86219.92955043  .00003048  00000-0  14403-2 0  2020
2 16613  98.7225 293.6843 0001250 134.3914 225.6998 14.20035092 23956
1 16613U 86019A   86220.84554216  .00000101  00000-0  51859-4 0  2036
2 16613  98.7227 294.5877 0001355 138.2330 221.8534 14.20028330 24082
1 16613U 86019A   86226.90517589  .00001218  00000-0  58097-3 0  2097
2 16613  98.7188 300.5620 0001769 136.9739 223.1552 14.20031262 24947
1 16613U 86019A   86232.89433649  .00004278  00000-0  20189-2 0  2152
2 16613  98.7220 306.4654 0001851 128.2838 231.8262 14.20031145 25790
1 16613U 86019A   86233.88078795  .00004279  00000-0  20189-2 0  2161
2 16613  98.7216 307.4372 0001805 124.9998 235.1323 14.20039090 25930
1 16613U 86019A   86234.93768948  .00000027  00000-0  16782-4 0  2178
2 16613  98.7207 308.4792 0001913 126.9869 233.0793 14.20028920 26081
1 16613U 86019A   86235.85369337  .00000027  00000-0  16779-4 0  2186
2 16613  98.7206 309.3808 0001886 124.8264 235.3113 14.20028498 26219
1 16613U 86019A   86236.91060428  .00000444  00000-0  21694-3 0  2198
2 16613  98.7207 310.4230 0001913 122.5786 237.5597 14.20030213 26361
